price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 3 900 000,4,3,3,House,,,1.0,1,1806m²,R2550
R 1 750 000,3,2,3,House,1077m²,,,1,1077m²,
R 1 300 000,4,3,2,House,,,,1,,
R 1 200 000,3,1,1,House,,,,0,,
R 3 400 000,4,,2,House,,,,0,,
R 1 350 000,3,2,2,House,,,,0,,
R 1 720 000,3,1.5,3,House,,,,0,991m²,R1800
R 665 000,2,1,,House,,R1000,,0,,
R 665 000,2,1,,Apartment/Flat,,R1000,,0,,
R 665 000,2,1,,Apartment/Flat,,R1000,,0,,
R 12 500 000,,,,IndustrialProperty,3577m²,R1,,0,3722m²,R10788
R 2 625 000,,,,CommercialProperty,495m²,,,0,495m²,
R 550 000,1,1,,Apartment/Flat,52m²,,,1,,R200
R 998 000,,,,House,,,,0,,
R 1 350 000,1,1,2,Apartment/Flat,106m²,R2500,1.0,0,4465m²,R950
R 979 900,3,2,1,Townhouse,116m²,R2130,,0,116m²,R450
R 1 785 000,1,1,1,Apartment/Flat,106m²,R1907,,0,,R1500
R 565 000,3,1,1,Apartment/Flat,,,,0,,
R 1 700 000,,,,CommercialProperty,,,,0,495m²,
R 980 000,1,1,1,Apartment/Flat,70m²,R2200,0.0,1,,
R 1 149 000 - R 1 219 000,,,,,,,,0,,
R 3 100 000,4,3.5,3,House,1308m²,,1.0,1,1308m²,R1280
R 655 000,2,,,Apartment/Flat,,R1300,,0,,R150
R 5 499 000,3,2.5,2,House,,,1.0,1,605m²,R5000
R 2 450 000,3,2,5,House,350m²,,1.0,0,573m²,R673
R 400 000,,,,VacantLand/Plot,,,,0,2312m²,
