price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
R 649 000,,,,,,,0,,,
R 1 250 000,4.0,2.0,House,682m²,,,0,R351,2.0,
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R1300,0,R300,1.0,
R 729 000,3.0,2.0,Townhouse,,69m²,,0,,2.0,0.0
R 8 000 000,,,IndustrialProperty,4500m²,4500m²,,0,,,
R 40 000 000,,,CommercialProperty,633m²,3000m²,,0,,,
R 380 000,2.0,1.0,Apartment/Flat,2354m²,102m²,R1500,0,,1.0,
R 600 000,2.0,1.0,Apartment/Flat,655m²,46m²,R1800,0,R800,,
R 795 000,1.0,1.0,Apartment/Flat,59m²,2073m²,R1670,0,R41639,1.0,
R 3 000 000,4.0,4.0,Apartment/Flat,10000m²,201m²,R2450,0,R700,4.0,1.0
R 3 800 000,3.0,2.0,Apartment/Flat,,221m²,R7220,0,R2250,2.0,
R 1 200 000,3.0,2.0,Townhouse,95m²,,R1800,0,,2.0,0.0
R 41 999 950,,,IndustrialProperty,16945m²,8560m²,,0,,,
R 799 000,5.0,2.5,House,390m²,,,0,R866,1.0,
R 1 200 000,2.0,1.0,House,496m²,,,0,R686,2.0,1.0
R 2 650 000,,,CommercialProperty,1000m²,,,0,,,
R 980 000,4.0,2.0,House,1050m²,,,0,R800,6.0,
R 1 699 900 - R 2 399 900,,,,,,,0,,,
R 229 000,1.0,1.0,Apartment/Flat,48m²,1240m²,R673,0,,1.0,
R 799 000,5.0,1.5,Apartment/Flat,8167m²,257m²,R325,0,R1420,2.0,0.0
R 699 000,2.0,1.0,House,200m²,50m²,,0,R500,2.0,1.0
R 300 000,1.0,1.0,Apartment/Flat,,41m²,R1500,0,R300,,
R 495 000,1.0,1.0,Apartment/Flat,,45m²,,0,,,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R1250,0,R250,1.0,
R 1 750 000,2.0,3.0,Apartment/Flat,,139m²,R3640,0,R369,,
R 4 950 000,3.0,2.5,Townhouse,485m²,250m²,R1200,0,R3725,4.0,0.0
R 750 000,2.0,1.0,Apartment/Flat,655m²,45m²,R2100,0,R624,,0.0
R 899 000,3.0,1.0,House,450m²,150m²,,0,R700,2.0,1.0
R 3 500 000,3.0,5.0,House,2487ha,,,0,R1500,9.0,
R 1 249 000,4.0,2.0,House,693m²,,,0,R1828,2.0,1.0
R 6 700 000,4.0,6.0,House,1781m²,,,0,R4555,4.0,
R 2 700 000,3.0,2.0,Townhouse,165m²,122m²,R3000,0,R1500,2.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,51m²,51m²,R750,0,R234,1.0,
R 675 000,2.0,1.0,Apartment/Flat,51m²,51m²,R750,0,R180,1.0,
R 1 575 000,3.0,2.0,Townhouse,,107m²,R1366,0,R871,,
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R1250,0,R250,1.0,
R 4 400 000,4.0,4.0,House,1905m²,,,0,R2500,2.0,
R 5 499 000,5.0,3.0,House,741m²,515m²,R2800,0,R2400,2.0,
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,0.0
R 4 200 000,4.0,2.5,House,504m²,286m²,R3890,0,R2794,2.0,1.0
R 3 995 000,5.0,3.5,House,1487m²,660m²,,0,R3800,3.0,1.0
R 3 900 000,4.0,3.0,House,1011m²,230m²,,0,R2103,2.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R1100,0,R150,1.0,0.0
R 1 200 000,3.0,2.0,Townhouse,10838m²,98m²,R1500,0,R550,,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 1 050 000,5.0,2.0,House,400m²,,,0,R500,5.0,
R 839 000,2.0,1.0,Apartment/Flat,56m²,56m²,R750,0,R234,1.0,
R 5 890 000,4.0,3.5,House,1980m²,,,0,R2284,2.0,1.0
R 1 389 313,3.0,2.0,House,250m²,89m²,R850,0,R1600,2.0,1.0
R 950 000,2.0,1.0,Townhouse,,70m²,R1650,0,R640,1.0,0.0
R 765 000,2.0,1.0,Apartment/Flat,56m²,56m²,R824,0,R234,1.0,
R 13 000 000,,,IndustrialProperty,7175m²,7175m²,,0,,,
R 755 000,2.0,1.0,Townhouse,,51m²,R1200,0,R165,1.0,
R 800 000,1.0,1.0,Apartment/Flat,,54m²,R1645,0,R960,1.0,1.0
R 570 000,,,,,,,0,,,
R 1 295 000,5.0,2.0,House,600m²,,,0,,2.0,
R 1 680 000,2.0,2.0,Apartment/Flat,2770m²,97m²,R3086,0,R1318,1.0,0.0
R 1 695 000,3.0,2.0,Townhouse,,313m²,R2774,0,R950,4.0,1.0
R 1 350 000,,,IndustrialProperty,495m²,400m²,,0,,,
R 2 250 000,2.0,2.0,Apartment/Flat,,84m²,R2908,0,R1741,,
R 665 000,2.0,1.0,Apartment/Flat,51m²,51m²,R1200,0,R250,1.0,
R 2 349 000,5.0,2.0,House,1000m²,,,0,R800,3.0,
R 1 799 000,3.0,2.0,House,945m²,350m²,,0,,2.0,
R 839 000,2.0,1.0,Apartment/Flat,,51m²,R800,0,R200,1.0,
R 1 795 000,2.0,2.0,Apartment/Flat,,87m²,,0,R1259,1.0,
R 850 000,2.0,1.0,House,251m²,,,0,R616,1.0,1.0
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R660,0,R180,1.0,
R 750 000,2.0,1.0,Apartment/Flat,,85m²,R1200,0,R450,1.0,
R 728 000,3.0,2.0,Townhouse,,70m²,,0,R1200,2.0,0.0
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R1100,0,R150,1.0,0.0
R 1 799 000,9.0,4.0,House,612m²,,,0,R1000,5.0,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 8 499 900,,,,,,,0,,,
R 675 000,2.0,1.0,Apartment/Flat,51m²,51m²,R750,0,R180,1.0,
R 675 000,2.0,1.0,Apartment/Flat,51m²,51m²,R750,0,R180,1.0,
R 1 300 000,3.0,2.0,House,712m²,,,0,R558,8.0,
R 850 000,2.0,1.5,Townhouse,,57m²,R1735,0,R617,2.0,0.0
R 1 100 000,2.0,1.0,Apartment/Flat,,84m²,,0,,1.0,
R 3 765 000,2.0,2.0,Apartment/Flat,75.3m²,75m²,R2800,0,,1.0,
