price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 1 895 000,3,2,2,House,1488m²,308m²,,R1915,0,1.0
R 1 200 000,3,2,,House,,,,R550,0,
R 2 599 000,8,4,3,House,1600m²,,,,0,
R 399 000,1,1,,Apartment/Flat,,37m²,,,1,
R 1 200 000,11,2.5,,House,495m²,,,R800,0,
R 2 200 000,2,2,1,Townhouse,176m²,96m²,R768,R1249,0,
R 1 785 000,11,4,1,House,,,,,0,
R 794 900,4,1,,House,244m²,,,R500,0,
R 560 000,2,1,1,Townhouse,,65m²,R1033,,0,
POA,,,,CommercialProperty,1549m²,260m²,,R12541,0,
R 2 100 000,2,2,2,Apartment/Flat,,87m²,,R1230,0,0.0
R 7 200 000,4,3.5,6,House,993m²,,,R4500,1,1.0
POA,5,3,2,House,4704m²,,,R3175,1,
R 1 750 000,3,2,1,Apartment/Flat,3530m²,152m²,R4259,R1268,1,
R 3 250 000,2,2,2,Apartment/Flat,,143m²,R2917,R2486,1,1.0
R 1 950 000,2,2,1,Apartment/Flat,,176m²,R5559,,0,0.0
R 1 590 000,2,1,1,Apartment/Flat,,133m²,R1000,R4000,0,0.0
R 985 000,3,2,1,Townhouse,,93m²,R810,R450,0,
R 3 400 000,4,3,4,Apartment/Flat,,175m²,,,0,0.0
R 2 950 000,3,3,6,House,,,,,0,
R 839 000,2,1,1,Apartment/Flat,,72m²,R309,R1975,1,0.0
R 820 000,3,2.5,3,House,300m²,,,R472,0,
R 1 000 000,5,3,1,House,472m²,250m²,,R432,0,
R 699 000,2,1,1,Apartment/Flat,2723m²,79m²,R2300,R388,1,0.0
R 899 000,3,2,1,House,208m²,,,,0,0.0
R 1 399 000,3,2,5,House,744m²,,,,1,1.0
R 1 450 000,,,,House,,,,,0,
R 865 000,3,2,1,Apartment/Flat,89m²,89m²,R1327,R440,1,1.0
R 949 900,3,2,,Townhouse,26790ha,84m²,R1100,,0,
R 380 000,1,1,2,Apartment/Flat,,38m²,,,1,0.0
R 2 450 000,4,3,4,House,1487m²,,,,1,
R 9 450 000,4,4.5,7,House,2492m²,,,,1,1.0
R 1 250 000,,,,VacantLand/Plot,1588m²,,,,0,
R 1 749 000,3,2,1,Apartment/Flat,,119m²,R4766,R1692,1,1.0
R 2 100 000,3,2,4,House,743m²,,,,0,
R 1 850 000,2,2,2,Apartment/Flat,,118m²,R1979,R902,0,1.0
R 1 800 000,3,2.5,1,House,,496m²,,R720,0,
R 3 600 000,2,2.5,,Apartment/Flat,,350m²,R5700,R2700,1,0.0
R 950 000,2,1,1,Townhouse,,,R1650,R640,1,
R 620 000,2,1,1,Apartment/Flat,,,,,0,0.0
R 1 150 000,3,1,3,House,495m²,150m²,,R592,0,1.0
R 2 099 000,3,2,2,Townhouse,,240m²,,,1,
R 1 250 000,3,2,1,House,,,,,0,
R 1 395 000,5,4,2,House,900m²,,,R700,0,
R 520 000,2,1,2,Apartment/Flat,,53m²,R1600,R350,1,0.0
R 28 000 000,,,,Apartment/Flat,920m²,,,,0,
R 6 950 000,4,3,3,Townhouse,821m²,,,,1,1.0
R 3 199 000,4,5,2,House,588m²,,,,1,
R 1 350 000,3,2,1,House,,70m²,,R380,0,1.0
R 29 500 000,,,,CommercialProperty,,,,R4500,0,
R 1 499 000,2,1,1,Apartment/Flat,,129m²,R3481,R775,0,0.0
R 2 850 000,,,,VacantLand/Plot,927m²,,,,0,1.0
R 3 100 000,2,2.5,3,House,496m²,200m²,,R2000,0,1.0
R 2 250 000,3,2,3,House,996m²,185m²,,R1800,1,
R 1 099 000,2,1,1,Townhouse,,105m²,R1552,R370,1,1.0
R 950 000,2,2,1,Apartment/Flat,84m²,84m²,,R675,1,0.0
R 1 199 000,3,2,,Townhouse,,,R880,,0,0.0
R 3 250 000,3,2,2,House,496m²,,,,1,
R 1 790 000,4,3,2,House,585m²,,,R312,0,0.0
R 765 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 665 000,2,1,1,Apartment/Flat,,51m²,R600,R200,0,
R 2 750 000,3,2.5,4,House,1068m²,,,,1,1.0
R 2 495 000,2,2.5,3,House,497m²,,,,1,1.0
R 2 950 000,3,2,2,Apartment/Flat,,170m²,R6500,R1807,0,
R 925 000,2,1.5,2,Apartment/Flat,98m²,98m²,,R645,0,0.0
R 640 000,2,1,1,Apartment/Flat,,88m²,R2200,R275,0,
R 4 000 000,,,,CommercialProperty,,,,,0,
R 1 800 000,4,3,4,House,1075m²,,,,0,0.0
R 2 495 000,2,2,1,Apartment/Flat,,138m²,R4039,,1,0.0
R 1 299 999,4,2,3,House,495m²,,,,1,
R 1 250 000,,3,,House,1388m²,,,R742,0,
R 755 000,2,1,1,Apartment/Flat,,51m²,R600,R500,0,0.0
R 1 450 000,2,1,1,Apartment/Flat,,129m²,,,0,0.0
R 3 680 000,4,3,5,House,1302m²,,,R1550,1,
R 2 450 000,8,2,4,House,1487m²,,,,1,
R 3 499 000,2,2,2,Apartment/Flat,,72m²,R2849,R2315,1,
R 6 295 000,,,,CommercialProperty,,,,,0,
R 210 000,0.5,1,1,Apartment/Flat,,28m²,R1038,R392,0,0.0
R 780 000,5,2,3,House,601m²,,,R529,0,
R 10 999 000,4,4,4,House,1150m²,667m²,R2146,R2434,1,
R 745 000,2,1,1,House,106m²,,R1500,R350,0,
R 1 595 000,3,2,4,House,866m²,866m²,,R790,1,1.0
R 665 000,3,2,,Townhouse,,,R100,R159,0,1.0
R 839 000,2,1,2,Apartment/Flat,,,R824,R200,0,
R 845 000,1,1,2,Apartment/Flat,,62m²,,,0,0.0
R 795 000,2,1.5,,Apartment/Flat,,110m²,R2000,R600,0,
R 1 810 000,3,3,3,House,,,,R710,0,1.0
R 915 000,2,1,2,Apartment/Flat,,880m²,R2100,R400,1,0.0
R 880 000,3,1,6,House,,,,,0,
R 1 200 000,3,1,2,House,621m²,,,R203,0,
R 1 200 000,3,2,2,House,900m²,,,R116,0,
R 1 050 000,3,1,,House,495m²,495m²,,,0,
R 850 000,1,1,1,Apartment/Flat,65m²,65m²,,,0,0.0
R 1 499 000,3,1,3,House,759m²,759m²,,,1,1.0
R 1 399 000,2,1,1,Apartment/Flat,,71m²,,,1,1.0
R 1 095 000,2,1,1,Townhouse,5617m²,88m²,,R537,1,1.0
R 950 000,2,1,2,Townhouse,,,R1650,R640,0,0.0
R 1 100 000,3,1,4,House,571m²,,,R362,0,
R 999 999,3,2,2,Apartment/Flat,54125m²,83m²,R2000,R690,1,
R 665 000,2,1,1,Apartment/Flat,,,R1335,R250,0,
R 3 599 000,7,5,7,House,1031m²,,,R1368,1,1.0
R 1 750 000,,,,House,495m²,,,,0,
R 2 500 000,3,2,6,House,793m²,,,R1400,0,
R 4 750 000,4,4,3,House,661m²,1m²,,R2700,1,1.0
R 1 100 000,2,2,1,Apartment/Flat,,130m²,,,0,
R 1 650 000,3,2,2,Apartment/Flat,,154m²,R3200,R1400,0,
R 380 000,,,,CommercialProperty,59m²,,,R1200,0,
R 1 300 000,2,2,3,House,495m²,,,R750,0,1.0
R 2 999 000,3,2.5,3,Townhouse,160m²,160m²,,,0,
R 680 000,2,1,1,Townhouse,,65m²,R1881,,0,
R 1 245 000,5,2,4,House,,476m²,,R100,1,1.0
R 1 450 000,3,2,14,House,497ha,230m²,,R526,0,1.0
R 750 000,4,2,2,House,502m²,501m²,,,0,
R 1 250 000,3,2,1,House,495m²,,,,0,1.0
R 2 250 000,4,2,2,House,993m²,993m²,,R920,0,1.0
R 25 000 000,5,4.5,3,House,6070m²,,,,1,
R 14 740 000,,,,CommercialProperty,2923m²,2923m²,,,0,
R 12 800 000,,,,CommercialProperty,,,,,0,
R 770 000,2,1,,Townhouse,122m²,,R463,R3000,0,
R 1 585 000,4,2,6,House,,,,,1,
R 720 000,2,1,1,Townhouse,,,,,0,
R 765 000,2,1,1,Apartment/Flat,,,R824,R234,0,
R 450 000,2,1,2,Apartment/Flat,,113m²,,R255,0,
R 560 000,3,1,,House,,,,,0,
R 13 000 000,,,,CommercialProperty,,,,,0,
R 300 000,1,1,1,Apartment/Flat,,66m²,,,0,0.0
R 6 000 000,,,,VacantLand/Plot,1.26ha,,,,0,
R 689 000,1,1,1,Apartment/Flat,,,R2082,R338,1,
R 899 000,6,2,,House,362m²,,,,0,1.0
R 260 000,,1,1,Apartment/Flat,2221m²,31m²,,,0,0.0
R 1 999 999,2,2,1,Apartment/Flat,,,,,1,
R 2 299 990,5,3.5,2,House,1983m²,,,R2227,1,1.0
R 870 000,4,3.5,6,House,495m²,,,,0,
R 1 195 000,3,2,,Apartment/Flat,27902m²,84m²,R1200,R600,0,
R 2 750 000,3,3.5,2,Townhouse,,180m²,,,1,1.0
R 1 100 000,2,2,2,House,,189m²,,R425,0,0.0
R 6 250 000,2,2.5,2,Apartment/Flat,,171m²,R6720,R4104,1,1.0
R 3 199 000,3,3,2,House,,495m²,,,1,0.0
R 889 000,2,1,2,Townhouse,,,R1400,R480,0,
R 675 000,2,1,1,Apartment/Flat,,51m²,R1100,R150,0,0.0
R 765 000,2,1,1,Apartment/Flat,,56m²,R1100,R150,0,0.0
R 185 000,1,1,1,Apartment/Flat,,49m²,R1154,,0,0.0
R 1 350 000,3,2,1,House,,,,,0,0.0
R 3 584 900,2,2,1,Apartment/Flat,,80m²,R2428,,0,0.0
R 30 000 000,,,,CommercialProperty,4000m²,4000m²,,,0,
R 600 000,1,1,,Apartment/Flat,,,,,0,
R 870 000,3,2,2,House,335m²,270m²,,R925,0,
R 190 000,1,1,,Apartment/Flat,,33m²,R802,R438,0,
R 725 000,3,1,1,House,,,,,0,
R 1 800 000,3,2,3,House,312m²,280m²,,R656,0,1.0
R 1 500 000,2,2,2,Townhouse,,,,,0,
