price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 2 995 000,1,1,1,Apartment/Flat,,122m²,R4118,R1585,1,0.0
R 12 950 000,4,4,2,House,3866m²,652m²,,,1,
R 3 450 000,3,2,5,House,1009m²,,,R2510,0,
R 7 250 000,4,4.5,3,House,3941m²,,,R3633,1,1.0
R 850 000,4,3,2,House,450m²,282m²,,R539,0,1.0
R 1 275 000,2,2,2,Townhouse,,108m²,,,0,0.0
R 4 500 000,3,2.5,4,House,496m²,,,R2349,1,
R 420 000,1,1,,Apartment/Flat,,27m²,,R638,0,0.0
R 1 050 000,3,3,1,House,392m²,,,,0,
R 839 000,2,1,1,Apartment/Flat,,,R500,R200,0,
R 2 000 000,4,3,1,House,495m²,,,R1250,0,1.0
R 700 000,3,1,,House,9191m²,,,R334,0,
R 280 000,2,1,,Apartment/Flat,,,R1526,,0,
R 599 000 - R 750 000,,,,,,,,,0,
R 1 900 000,3,3,5,House,745m²,,,R780,0,1.0
R 590 000,2,2,2,Apartment/Flat,129m²,129m²,R512,R264,0,1.0
R 5 295 000,,,,House,,,R3700,,0,
R 384 000,2,1,1,Apartment/Flat,,,R812,,0,
R 480 000,1,1,1,Apartment/Flat,30m²,30m²,,R660,0,0.0
R 585 000,2,1,1,Apartment/Flat,,,R1100,R600,0,0.0
R 2 295 000,3,2.5,2,Townhouse,210m²,210m²,,R1014,0,1.0
R 2 400 000,3,2,4,House,1391m²,465m²,,R1525,1,1.0
R 1 550 000,3,2,4,House,697m²,,,R333,0,0.0
R 1 300 000,3,2,2,House,1363m²,1363m²,,R450,0,1.0
R 21 000 000,6,5.5,6,House,4047m²,,R4740,R4740,1,1.0
R 2 000 000,4,2,2,House,,,,,1,
R 13 500 000,5,4,3,House,2380m²,,,R8000,1,
R 1 750 000,3,2,4,House,495m²,,,R560,1,
R 10 500 000,,,,CommercialProperty,,,,,0,
R 1 950 000,2,1,2,Apartment/Flat,,75m²,R2198,R900,0,
R 4 298 000,6,4,4,House,1550m²,820m²,R1,R1157,0,1.0
R 550 000,2,1,2,Apartment/Flat,,40m²,,,1,0.0
R 795 000,3,3,1,Apartment/Flat,126m²,,,,1,
R 1 680 000,4,2,1,House,995m²,,,R1800,0,
R 1 575 000,,,,,,,,,0,
R 1 399 000,3,1,1,House,803m²,143m²,,R890,0,1.0
R 1 300 000,3,2,16,House,873ha,200m²,,R446,0,1.0
R 950 000,3,2,2,House,496m²,280m²,,R800,0,1.0
R 2 500 000,3,2,10,House,1356m²,,,,0,
R 425 000,1,1,1,Apartment/Flat,45m²,45m²,,R220,0,0.0
R 1 350 000,2,2,1,Townhouse,,140m²,R1724,R408,0,
R 659 000,2,2,2,Apartment/Flat,69m²,69m²,R1100,R420,1,0.0
R 2 200 000,9,3,2,House,669m²,,,,0,
R 950 000,3,1,6,House,495m²,,,,0,
R 2 850 000,5,6,7,House,1179m²,500m²,,R995,1,1.0
R 3 200 000,3,2,4,House,496m²,350m²,,R2000,1,1.0
R 7 990 000,4,4,3,House,970m²,,R2600,R1700,1,
R 850 000,3,2,2,House,566m²,,,,0,
R 1 200 000,3,2,2,House,666m²,666m²,,R529,0,1.0
R 1 320 000,3,1.5,8,House,621m²,258m²,,R582,0,1.0
R 2 650 000,4,4,6,House,918m²,,,R1000,1,
R 395 000,1,1,1,Apartment/Flat,40m²,40m²,,R940,1,0.0
R 7 995 000,6,4.5,4,House,2581m²,,,,1,
R 2 299 000 - R 2 552 550,,,,,,,,,0,
R 895 000,3,1,6,House,555m²,,,R395,0,1.0
R 4 999 000,,,,VacantLand/Plot,3.3m²,,,R5883,0,
R 2 750 000,3,2,2,House,2301m²,,,R2400,0,1.0
R 450 000,,,,VacantLand/Plot,,,,,0,
R 489 000,2,1,1,House,,,R1400,R350,0,0.0
R 5 000 000,,,,IndustrialProperty,850m²,850m²,,,0,
R 3 990 000,,,,CommercialProperty,2076m²,,,R3400,0,0.0
R 6 990 000,4,3.5,2,House,623m²,311m²,R3129,,1,
R 1 175 000,3,2,2,House,476m²,,,R559,1,
R 170 000,,1,,Apartment/Flat,2482m²,35m²,,,0,0.0
R 4 950 000,3,2,2,House,1026m²,,,R3391,1,1.0
R 529 000,2,1,3,Apartment/Flat,82m²,82m²,R1500,R240,1,1.0
R 1 230 000,3,2,,Townhouse,,,,,0,0.0
R 1 300 000,4,2,2,House,607m²,,,,0,1.0
R 10 000 000,,,,IndustrialProperty,1984m²,1984m²,,,0,
R 1 850 000,4,2.5,2,House,714m²,,,,0,1.0
R 2 499 000,2,2.5,2,Townhouse,153m²,153m²,R3500,,0,1.0
R 1 464 875,3,2,3,House,,,R800,R1000,0,1.0
R 999 950 - R 2 550 000,,,,,,,,,0,
R 1 350 000,5,3,1,House,397m²,237m²,,R700,0,1.0
R 665 000,2,1,1,Apartment/Flat,,,R1300,R250,0,
R 1 595 000,3,1,5,House,595m²,,,,0,
R 750 000,2,1,,House,317m²,,,,0,
R 990 000,,,,House,,,,,0,
R 1 695 000,1,1,1,Apartment/Flat,,85m²,,R1201,1,1.0
R 665 000,2,1,1,Apartment/Flat,,,R1200,R250,0,
R 650 000,2,1,,Apartment/Flat,43m²,,R1175,R192,0,0.0
R 2 350 000,4,2.5,3,House,1536m²,,,,1,1.0
R 850 000,5,2,2,House,,,,,0,
R 850 000,3,2,1,Apartment/Flat,,68m²,,,0,
R 765 000,2,1,1,Apartment/Flat,,,R1335,R250,0,
R 5 495 000,4,2.5,2,House,2023m²,,,,1,1.0
R 580 000,,,,Apartment/Flat,,102m²,,,0,
R 650 000,1,1,1,Apartment/Flat,10390m²,45m²,R1200,R450,0,0.0
R 9 500 000,,,,IndustrialProperty,,1250m²,R2800,,0,
R 1 290 000,3,2,1,Apartment/Flat,,146m²,R3915,R1100,1,0.0
R 8 150 000,4,3.5,2,House,2001m²,,,R6319,1,
R 3 600 000,,,,CommercialProperty,,49m²,R1020,,0,
R 629 000,,,,,,,,,0,
R 1 200 000,3,3,1,Townhouse,,118m²,,,1,
