price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 465 000,,1,Apartment/Flat,,27m²,R1038,R210,0.0,1,1
R 1 250 000,1,1,Apartment/Flat,,,R3012,R550,,1,2
R 2 200 000,3,3,House,,,,,1.0,0,3
R 2 200 000,,1,Apartment/Flat,,51m²,R2244,,,1,1
R 1 995 000,3,2,House,990m²,235m²,,R1085,1.0,0,3
R 330 000,2,1,House,160m²,,,,,0,
R 1 180 000,3,2,Townhouse,,,R1700,R450,0.0,1,2
R 6 500 000 - R 7 990 000,,,,,,,,,0,
R 1 170 000,1,1,Apartment/Flat,,58m²,R2833,R709,,1,1
R 650 000,1,1,Apartment/Flat,,38m²,,,,0,
R 1 300 000,3,2,House,400m²,80m²,,R450,,0,
R 800 000,1,1,Apartment/Flat,,73m²,R1973,R1261,0.0,1,1
POA,5,3,House,1487m²,500m²,,R1120,1.0,1,8
R 260 000,,,House,,,,,,0,
R 780 000,3,1,Apartment/Flat,,,,,0.0,0,1
R 1 930 000,5,2,House,495m²,,,,,1,2
R 4 699 000,4,4,House,1366m²,,,R1850,1.0,0,2
R 1 550 000,3,1.5,House,923m²,,,,1.0,0,2
R 5 900 000,4,3,House,1804m²,,,,1.0,1,2
R 450 000,1,0.5,Townhouse,,29m²,R800,R200,0.0,1,1
R 800 000,1,1,Apartment/Flat,,46m²,R1200,R450,,1,1
R 630 000,2,1,Apartment/Flat,,,R1760,R380,,0,1
R 1 500 000,1,1.5,Apartment/Flat,,83m²,,R856,0.0,0,1
R 765 000,2,1,Apartment/Flat,,56m²,R823,R750,1.0,0,1
R 1 900 000,10,4,House,719m²,,,,0.0,0,1
R 1 850 000,4,2,House,1034m²,300m²,,,1.0,0,5
R 3 699 000,3,2,House,496m²,,,,,1,2
R 2 199 000,3,2.5,House,793m²,,,R977,,1,4
R 3 150 000,3,2,Townhouse,,212m²,,,1.0,1,2
R 699 000,2,1,Townhouse,,,R1766,R400,0.0,1,1
R 850 000,3,2,House,,,,,,0,1
POA,5,3,House,709m²,350m²,,R400,1.0,0,5
R 765 000,2,,Apartment/Flat,,56m²,R1200,R150,,0,1
R 1 600 000,3,2,Apartment/Flat,,182m²,,,0.0,0,1
R 1 239 000,3,2,Apartment/Flat,32440m²,81m²,R769,R361,,1,2
R 1 430 000,3,1.5,House,720m²,,,R740,1.0,1,1
R 1 125 000,3,3,House,495m²,,,R384,,0,2
R 2 400 000,3,2,Townhouse,190m²,140m²,R1850,R1117,1.0,0,2
R 1 399 000,7,2,House,495m²,,,R662,,0,
R 1 250 000,1,1,Apartment/Flat,,60m²,,,0.0,0,1
R 460 000,2,1.5,Apartment/Flat,,85m²,R1400,R195,,0,1
POA,9,5,House,495m²,431m²,,R1582,0.0,0,5
R 410 000,3,1,Apartment/Flat,,,R1425,R189,,0,2
R 1 500 000,2,1,Apartment/Flat,,143m²,R5513,,0.0,1,
R 660 000,2,1,Apartment/Flat,,,,R306,,0,2
R 2 390 000,,,,,,,,,0,
R 780 000,3,1,Townhouse,,,,,,0,1
R 799 000,1,1,Apartment/Flat,,,R1234,R521,0.0,1,1
R 550 000,3,1,Townhouse,,128m²,,,,0,1
R 3 499 000,3,3,House,496m²,,,,,1,3
R 910 000,3,1,House,490m²,165m²,,,,0,4
R 2 400 000,4,2,House,1008ha,400m²,,R1007,1.0,1,5
R 2 599 000,4,3.5,House,,,,R1600,,1,1
R 1 200 000,2,1,Apartment/Flat,,102m²,R2992,R900,0.0,0,1
R 4 950 000,4,4,House,1020m²,,,R2698,,1,4
R 1 900 000,3,2,House,,,,,1.0,0,2
R 1 095 000,6,1,House,600m²,,,,,0,
R 595 000,1.5,1.5,Apartment/Flat,,,,,,0,1
R 965 000,3,2,Townhouse,166m²,,R2260,R668,,1,2
R 1 695 000,2,1,House,1159m²,143m²,,R1200,1.0,0,2
R 1 200 000,,,VacantLand/Plot,1007m²,,,,,0,
R 1 950 000,2,2,Apartment/Flat,,180m²,R3742,R1587,,1,2
R 650 000,2,1,Apartment/Flat,1219m²,101m²,R1927,,,0,2
R 180 000,,1,Apartment/Flat,1487m²,39m²,,,0.0,0,
R 875 000,3,2,House,367m²,,,,,1,3
R 1 150 000,2,2,Townhouse,,67m²,R1600,R684,0.0,1,1
R 980 000,2,2,Apartment/Flat,,138m²,,,,0,
R 495 000,1,1,Apartment/Flat,5000m²,35m²,R2100,R250,,0,
R 175 000,,1,Apartment/Flat,1487m²,30m²,,,0.0,0,
R 1 100 000,3,1,House,592m²,,,,,0,2
R 1 650 000,9,6,House,647m²,,,R800,,0,2
