price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 340 000,1,1,1,Apartment/Flat,R1200,R230,0,25m²,,25m²
R 1 850 000,2,1,,Apartment/Flat,,,0,116m²,,
R 1 650 000,3,2,1,House,,R752,0,,1.0,763m²
R 620 000,1,1,,Apartment/Flat,R1320,R363,1,49m²,,
R 650 000,2,1,,Apartment/Flat,R2000,R1100,1,55m²,0.0,655m²
R 1 300 000,2,2,,Apartment/Flat,R3543,R1621,0,91m²,,
R 1 575 000,,,,,,,0,,,
R 350 000,1,1,1,Apartment/Flat,R686,R266,0,30m²,0.0,
R 6 700 000,5,3,2,Townhouse,R1749,R1760,1,,,661m²
R 150 000,1,1,,Apartment/Flat,R1464,,0,,,
R 2 190 000,3,2,2,Apartment/Flat,R3469,R1130,1,128m²,0.0,7372m²
R 2 190 000,3,3,2,House,,R962,0,,1.0,990m²
R 550 000,2,1,1,Apartment/Flat,,,0,75m²,,
R 699 000,3,1,,House,,R112,0,,,465m²
R 350 000,2,2,1,Apartment/Flat,R2500,R200,1,110m²,0.0,6699m²
R 1 500 000,,,,VacantLand/Plot,,R265,0,,,1357m²
R 899 000,1,1,2,Apartment/Flat,R3032,R401,0,71m²,1.0,
R 1 587 000,3,2.5,2,Townhouse,R2880,R800,1,176m²,,
R 2 550 000,3,2,2,Apartment/Flat,R5562,R1612,0,212m²,0.0,
R 1 799 000,2,2,2,Apartment/Flat,R3200,R800,0,77m²,,
R 800 000,2,2,,Apartment/Flat,R2800,R500,1,97m²,,
R 2 850 000,5,3,2,House,,R1422,1,,,1000m²
R 1 975 000,4,3.5,4,House,,R3067,0,,,826m²
R 2 000 000,,,2,Apartment/Flat,,,0,,,
R 899 000,3,2,,House,,,0,,,240m²
R 629 000,,,,,,,0,,,
R 795 000,3,1,,Apartment/Flat,R2400,R300,1,55m²,0.0,1898m²
R 1 225 000,2,1,2,Apartment/Flat,R2348,R803,1,69m²,,
R 1 600 000,2,2,2,Townhouse,R2579,R1175,0,90m²,0.0,
R 1 580 000,12,11,6,House,,R1500,0,600m²,1.0,2656m²
R 499 000,2,1,1,Apartment/Flat,R900,R400,0,,,
R 3 280 000,5,3,,House,,R3807,1,500m²,1.0,1588m²
R 2 200 000,2,2,,Apartment/Flat,R2400,R1100,0,73m²,,73m²
POA,,,,IndustrialProperty,,,0,,,992m²
R 1 999 000,2,2,3,House,,,1,,1.0,496m²
R 1 199 000,3,2,2,House,,,0,,1.0,600m²
R 1 150 000,4,2,2,House,,R724,0,,,497m²
R 1 245 000,3,2,1,House,,R559,0,,,495m²
R 385 000,1,1,,Apartment/Flat,,,0,33m²,,
R 5 999 000,5,6,7,House,,R3000,1,600m²,1.0,2485m²
R 2 499 000,3,2,4,House,,,0,,1.0,
R 1 350 000,3,2,,House,,R550,0,495m²,,
R 1 990 000,,,,VacantLand/Plot,,,0,,,4198m²
R 395 000,1.5,1,1,Apartment/Flat,R1263,R233,1,80m²,0.0,
R 1 790 000,11,8.5,3,House,,,0,,1.0,1038m²
R 1 005 000 - R 1 355 000,,,,,,,0,,,
R 340 000,2,1,1,Apartment/Flat,R1000,R500,0,46m²,0.0,46m²
R 1 249 000,1,1,1,Apartment/Flat,R2800,R1005,0,68m²,1.0,
R 3 650 000,7,5,5,House,,R2302,1,800m²,,2997m²
R 2 199 000,21,7,8,House,,R5600,0,,0.0,495m²
R 2 499 000,4,2,2,House,,R1665,1,,1.0,1013m²
R 870 000,2,1,1,Apartment/Flat,,,1,,,
R 699 000,2,1,,Apartment/Flat,R1200,R430,0,,,
R 1 895 000,3,2,2,Townhouse,R4209,R1368,0,180m²,1.0,
R 2 350 000,4,3.5,2,House,,R1279,1,,1.0,1696m²
R 12 200 000,4,4,2,House,,R3700,1,550m²,1.0,2025m²
R 1 050 000,2,2,1,Townhouse,,R750,1,,0.0,37252m²
