price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 4 900 000,,,,,,,,,,0
R 5 499 000,5.0,4.0,3.0,House,1167m²,,R2500,,1.0,1
R 5 055 000,,,,CommercialProperty,5811m²,337m²,,,,0
R 4 004 000,,,,CommercialProperty,5811m²,308m²,,,,0
R 5 499 999,,,,IndustrialProperty,3000m²,800m²,,,,0
R 3 790 000,3.0,3.5,6.0,House,1086m²,451m²,,R2467,,1
R 1 710 000,,,,CommercialProperty,5811m²,114m²,,,,0
R 6 000 000,,,,IndustrialProperty,3400m²,2800m²,,,,0
R 520 000,1.0,1.0,2.0,Apartment/Flat,,78m²,R1300,R403,,0
R 350 000,3.0,1.0,1.0,Apartment/Flat,,89m²,R2051,R1,,0
R 1 600 000,2.0,1.0,1.0,Apartment/Flat,2535m²,96m²,R960,,,0
R 850 000,3.0,2.0,2.0,House,250m²,70m²,,R500,1.0,0
R 2 250 000,3.0,2.0,1.0,Apartment/Flat,2451m²,141m²,R4158,R1376,,0
R 2 385 000,,,,CommercialProperty,5811m²,159m²,,,,0
R 2 775 000,,,,CommercialProperty,5811m²,185m²,,,,0
R 2 970 000,,,,CommercialProperty,5811m²,198m²,,,,0
R 3 195 000,,,,CommercialProperty,5811m²,213m²,,,,0
R 2 790 000,,,,CommercialProperty,5811m²,186m²,,,,0
R 2 385 000,,,,CommercialProperty,5811m²,159m²,,,,0
R 6 000 000,,,,IndustrialProperty,1400m²,1400m²,,,,0
R 999 000,5.0,2.0,8.0,House,600m²,,,R490,,1
R 8 499 900,,,,,,,,,,0
R 580 000,2.0,1.0,1.0,Apartment/Flat,53m²,53m²,R1374,R267,0.0,0
R 2 495 000,2.0,2.0,2.0,Townhouse,,185m²,R3035,R1500,1.0,0
R 1 474 000,,,,CommercialProperty,5811m²,134m²,,,,0
R 1 250 000,6.0,4.0,5.0,House,495m²,495m²,,R455,1.0,0
R 4 000 000,,,,VacantLand/Plot,,,,,,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R600,R200,,0
R 740 000,1.0,1.0,2.0,Apartment/Flat,,80m²,R2500,R750,0.0,0
POA,4.0,3.0,3.0,House,1487m²,,,R764,,1
R 2 300 000,3.0,2.0,2.0,House,990m²,,,R724,,0
R 1 800 000,2.0,2.0,1.0,Apartment/Flat,,90m²,,,,1
R 5 195 000,4.0,4.5,4.0,House,2065m²,499m²,,R2852,1.0,1
R 2 300 000,3.0,2.0,6.0,House,990m²,,,R724,,0
R 1 699 000,3.0,2.5,3.0,Apartment/Flat,,246m²,,R1280,,0
R 6 950 000,5.0,4.0,5.0,House,1003m²,,,R3234,,1
R 5 399 000,2.0,2.5,2.0,Apartment/Flat,,156m²,R5186,,,1
R 570 000,,,,,,,,,,0
R 1 850 000,2.0,2.0,1.0,Apartment/Flat,,115m²,R2950,R1500,,1
R 680 000,1.0,1.0,,Apartment/Flat,,68m²,R2548,R1391,0.0,0
R 35 000 000,,,,CommercialProperty,1998m²,1998m²,,,,0
R 3 370 000,4.0,2.5,4.0,House,1380m²,350m²,R1,R1895,1.0,1
R 290 000,1.0,1.0,1.0,Apartment/Flat,496m²,50m²,R674,,,0
R 1 599 000,3.0,2.0,4.0,House,495m²,,,R720,0.0,1
