price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 650 000,Apartment/Flat,495m²,62m²,R200,1,2,1,1,,
R 6 900 000,CommercialProperty,4560m²,,,0,,,,,
R 2 150 000,Apartment/Flat,,110m²,R1542,1,2,2,1,R3658,0.0
R 1 195 000,House,,,,0,6,3,2,R643,
R 4 995 000,House,3441m²,,,1,4,3,3,,1.0
R 599 000,House,480m²,73m²,R262,0,3,1,,,0.0
R 2 390 000,,,,,0,,,,,
R 2 500 000,House,1011m²,,,0,4,5,,,
R 690 000,Townhouse,65m²,,R985,0,3,1,,,0.0
R 695 000,CommercialProperty,4468m²,61m²,R1250,1,,,,R1900,
R 370 000,Apartment/Flat,5861m²,68m²,,0,2,1,1,,
R 1 800 000,House,2023m²,,R1000,0,6,5,3,R2000,1.0
R 1 050 000,House,,,,0,10,3,,,
R 695 000,Apartment/Flat,128m²,128m²,,0,4,2,2,R3250,
R 699 000,Apartment/Flat,,43m²,R163,0,1,1,,R920,1.0
R 485 000,Apartment/Flat,1450m²,52m²,R366,0,1,1,,R931,0.0
R 1 160 000,Apartment/Flat,4965m²,96m²,R769,1,1,1.5,1,R3013,0.0
R 1 650 000,House,545m²,240m²,R700,0,4,3,2,,1.0
R 810 000,Apartment/Flat,,90m²,R500,0,2,2,1,R1400,
R 55 000 000,IndustrialProperty,14890m²,10959m²,,0,,,,,
POA,House,,,,0,3,2,15,,
R 799 000,Townhouse,,97m²,R475,1,2,2,5,R2700,1.0
R 550 000,Apartment/Flat,2000m²,52m²,R331,1,1,1,1,R1153,0.0
R 3 400 000,VacantLand/Plot,1500m²,,,0,,,,,
R 2 450 000,House,1010m²,250m²,R1600,0,4,2,,,1.0
R 4 999 000,House,997m²,,R3471,0,5,3,4,,1.0
R 2 149 000,House,1000m²,,R1500,1,4,2,7,,
R 1 199 000,House,990m²,,R1000,0,3,1,7,,
R 1 450 000,House,,,,1,3,2,3,,
R 799 000,House,734m²,,R559,0,3,2,2,,
R 700 000,House,,,,0,3,1,1,,0.0
R 1 925 000,House,793m²,,R907,0,8,5,,,1.0
R 1 990 000,House,991m²,,R800,1,4,2,3,,
R 1 150 000,House,545m²,,R600,0,3,1.5,3,,1.0
R 2 300 000,Apartment/Flat,495m²,495m²,,0,22,9,,,0.0
R 2 650 000,Townhouse,,138m²,,0,2,2,1,,1.0
R 430 000,Apartment/Flat,1602m²,37m²,R200,1,1,1,1,R800,
R 5 999 000,House,880m²,,,0,3,3,2,,1.0
R 1 300 000,Apartment/Flat,,96m²,R1200,0,2,1,2,R1200,
R 370 000,Apartment/Flat,85m²,,,0,2,2,2,R2300,
R 3 950 000,House,1630m²,400m²,R1800,1,3,2,2,,1.0
R 1 500 000,CommercialProperty,,248m²,,0,,,,,
R 7 595 000,Apartment/Flat,,250m²,R2718,1,2,2.5,2,R5777,0.0
R 707 180 - R 751 950,,,,,0,,,,,
R 355 000,Apartment/Flat,,113m²,,0,2,1,1,R2235,0.0
R 4 400 000,House,,,,1,6,4,4,,
R 699 000,House,390m²,,R850,0,4,1.5,2,,
R 9 200 000,CommercialProperty,9777m²,,,0,,,,,
R 2 100 000,CommercialProperty,500m²,,,0,,,,,
R 999 000,House,495m²,,,0,3,1,,,1.0
R 1 650 000,House,991m²,,,1,3,2,2,,1.0
R 2 095 000,House,1487m²,,R1169,1,3,2.5,3,,
R 1 850 000,Apartment/Flat,,105m²,,0,2,2,1,,1.0
R 720 000,Apartment/Flat,,,,1,3,1,2,R1257,1.0
R 1 499 999,House,,,,0,3,2,4,,
R 14 250 000,VacantLand/Plot,,,,0,,,,,
R 165 000,Apartment/Flat,,37m²,,0,0.5,1,,R1000,0.0
R 3 900 000,House,1000m²,,R1044,0,16,13,9,,
R 13 500 000,IndustrialProperty,5620m²,3535m²,,0,,,,,
R 2 890 000,House,1317m²,,R1722,1,3,2,2,,1.0
R 995 000,House,495m²,,R800,0,3,1,,,1.0
R 1 250 000,House,472m²,,R574,0,3,1.5,1,,0.0
R 450 000,Apartment/Flat,,75m²,R772,0,2,1,,R1800,
R 1 700 000,House,495m²,,,0,,,,,
R 10 000 000,Apartment/Flat,790m²,790m²,,0,,,,,
R 250 000,Apartment/Flat,,57m²,,0,1,1,1,R950,
R 4 000 000,Apartment/Flat,,83m²,,1,2,2,2,R3652,
R 2 800 000,CommercialProperty,992m²,,,0,,,,,
R 2 300 000,Townhouse,,118m²,R1588,1,2,2,1,R4946,1.0
R 10 950 000,House,2208m²,900m²,R6000,1,6,4.5,3,,1.0
R 1 685 000,House,1034m²,,R1011,0,2,1,2,,
R 1 350 000,IndustrialProperty,,,,0,,,,,
R 2 980 000,House,460m²,,R2500,0,8,4,1,,
R 3 350 000,House,990m²,,R1300,1,5,5.5,3,,
R 3 188 900,Apartment/Flat,80.5m²,80m²,,0,2,2,,R2000,
R 4 800 000,House,1016m²,,R2226,1,4,2.5,2,,1.0
R 1 699 000,House,1530m²,,R900,0,3,2,3,,
R 1 625 000,House,2024m²,,R1050,1,4,2,2,,1.0
R 1 100 000,Apartment/Flat,,118m²,R500,1,3,2,,R2500,1.0
R 849 000,House,901m²,,R398,0,3,2.5,3,,
R 999 000,Apartment/Flat,,57m²,R869,1,1,1,1,R2385,0.0
R 2 700 000 - R 5 400 000,,,,,0,,,,,
R 3 570 000,Apartment/Flat,71.4m²,71m²,,0,2,2,,R2700,
R 699 000,House,982m²,,,0,3,1,2,,
R 1 499 000,Apartment/Flat,,84m²,R770,1,2,2,2,R2400,
R 1 650 000,House,600m²,,R700,1,3,1,4,,
R 1 995 000,House,991m²,280m²,,1,4,2,2,,1.0
R 1 200 000,House,600m²,,R500,1,3,2,2,,
R 1 399 000,Townhouse,,,R705,0,3,2,2,R1940,
R 3 355 000,Apartment/Flat,74.6m²,74m²,,0,2,2,,R2700,
R 4 495 000,House,3275m²,,R3005,0,4,2,7,,0.0
R 1 275 000,Townhouse,,94m²,R643,0,3,2,2,R1913,
R 450 000,Apartment/Flat,33m²,,,0,1,1,,,
R 1 490 000,Apartment/Flat,,53m²,,1,1,1,2,R2050,
R 1 680 000,Apartment/Flat,5961m²,105m²,R946,0,2,2,1,R2549,0.0
R 720 000,Apartment/Flat,,78m²,,0,1,1,2,R1810,1.0
R 3 250 000,CommercialProperty,500m²,,,0,,,,,
R 699 000,Apartment/Flat,,,R416,0,2,1,2,R2070,
POA,IndustrialProperty,3986m²,,,0,,,,,
R 895 000,House,470m²,,R622,0,4,2,2,,0.0
R 1 800 000,House,1028m²,,,0,5,2,1,,
R 1 690 000,Apartment/Flat,7161m²,91m²,R1300,0,2,2,2,R2300,
R 990 000,Townhouse,,81m²,R503,0,3,2,,R1188,0.0
R 2 999 999,House,1198m²,,R2385,1,3,2,2,,1.0
R 3 200 000,CommercialProperty,,,,0,,,,,
R 3 550 000,Apartment/Flat,,127m²,,0,3,3,2,,0.0
R 4 300 000,Apartment/Flat,,115m²,R2800,1,2,2.5,2,R5700,
R 3 850 000,House,495m²,,R2567,0,4,4,1,,1.0
R 5 499 000,House,1859m²,,R3588,1,5,2.5,2,,1.0
R 2 090 000,Apartment/Flat,6042m²,310m²,,1,3,3,3,,
R 2 650 000,House,1600m²,,,0,3,2.5,4,,
R 900 000,House,,,,0,2,2,,,0.0
R 1 499 000,House,702m²,,,1,3,2,1,,1.0
R 2 850 000,CommercialProperty,,,R1200,0,,,,,
R 990 000,Townhouse,990m²,200m²,R743,0,4,2,,,0.0
R 799 000,House,722m²,,,0,7,4,1,,1.0
R 9 500 000,CommercialProperty,,265m²,,0,,,,,
R 1 999 000,House,990m²,,R1020,1,3,2,,,1.0
R 850 000,Townhouse,,81m²,,1,2,2,,,1.0
R 1 650 000,Apartment/Flat,,80m²,R1300,0,2,2,2,R1957,
R 1 299 000,House,510m²,330m²,R361,0,5,3,3,,1.0
R 2 100 000,House,992m²,,,0,7,4,1,,
R 320 000,Apartment/Flat,1492m²,68m²,R500,0,1,1,4,R1500,
R 2 200 000,House,1636m²,,,1,4,2.5,2,,1.0
R 1 490 000,House,516m²,,,0,5,4,2,,1.0
R 520 000,Townhouse,,47m²,,0,2,1,,,
R 790 000,Apartment/Flat,,107m²,R650,0,3,2,2,R1100,0.0
R 1 095 000,House,320m²,250m²,R519,1,3,2,4,,
R 1 599 000,Townhouse,5617m²,112m²,R700,1,3,2,1,R1200,0.0
R 2 200 000,House,,,,1,5,3,5,,
R 1 190 000,Townhouse,,98m²,,0,3,2,2,,0.0
