price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 1 650 000,4,2,House,,,R970,1.0,0,995m²,4
R 1 900 000,,,Townhouse,,R2075,,,0,208m²,
R 1 999 000,4,3,House,320m²,,R748,1.0,1,991m²,5
R 550 000,1,1,Apartment/Flat,50m²,R1500,R400,0.0,0,11111111m²,1
R 3 999 000 - R 4 249 000,,,,,,,,0,,
R 1 990 000,8,3,House,,,R970,,0,669m²,
R 2 410 000,1,1,Apartment/Flat,48m²,R1900,,,0,48.2m²,
R 1 580 000,3,2,House,,,R397,,1,630m²,6
R 895 000,4,2,House,,,R450,,0,450m²,1
R 1 230 000,5,2,House,,,,,0,643m²,1
R 320 000,1,1,Apartment/Flat,73m²,R1087,,0.0,0,,
R 1 200 000,,,CommercialProperty,248m²,,,,0,,
R 5 500 000,5,2,House,,,,,0,989m²,
R 7 900 000,3,3.5,House,,R2000,R3088,1.0,0,418m²,2
R 480 000,3,1,Townhouse,95m²,,R258,0.0,0,498m²,
R 2 500 000,3,2,House,,,,,1,1356m²,7
R 500 000,2,2,Apartment/Flat,,,,,0,,1
R 6 950 000,4,3.5,Townhouse,,R3750,R4581,1.0,1,870m²,3
R 5 500 000,,,CommercialProperty,1000m²,,R600,,0,1999ha,
R 950 000,2,1,Apartment/Flat,87m²,R2700,R550,0.0,1,14255m²,
R 6 000 000,,,IndustrialProperty,1500m²,,,,0,2000m²,
R 780 000,2,1,Townhouse,68m²,,,0.0,1,,2
R 1 600 000,7,5,House,400m²,,R568,1.0,0,567ha,6
R 2 390 000,,,,,,,,0,,
R 735 000,2,2.5,Apartment/Flat,80m²,R1558,R300,0.0,0,,
R 2 200 000,4,2.5,House,1536m²,,R600,1.0,1,,2
R 4 500 000,,,Farm,,,,,0,,
R 3 000 000,,,VacantLand/Plot,,R1452,,,0,630m²,
R 2 000 000,3,1.5,House,,,,,0,820m²,9
R 989 000,3,1,House,,,R620,,1,574m²,2
R 650 000,2,1,Apartment/Flat,77m²,R1611,,,1,,2
