price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Pets Allowed,Pool,Floor Size,Levies,Rates and Taxes
R 2 275 000,,,,VacantLand/Plot,,,0,,,
R 65 000 000,,,,CommercialProperty,1492m²,,0,,,
R 839 000,2,1,1,Apartment/Flat,,,0,,R1300,R150
R 735 000,,,,House,,,0,,,
R 5 700 000,2,2.5,2,Apartment/Flat,2028m²,1.0,0,233m²,R8605,R1824
R 2 800 000,,,,VacantLand/Plot,,,0,,,
R 450 000,2,1,,House,135m²,,0,,,R270
R 799 000,1,1,,Apartment/Flat,,,0,54m²,R265,R881
R 7 700 000,,,,IndustrialProperty,2356m²,,0,,,
R 890 000,1,1,,Apartment/Flat,,0.0,0,,,
R 550 000,2,,1,Apartment/Flat,,,0,,R500,R250
R 1 350 000,4,2,4,House,1900m²,1.0,1,,,
R 900 000,,,,VacantLand/Plot,,,0,,,
R 1 090 000,3,3,1,House,,,0,,,
R 34 999 000,,,,CommercialProperty,7449m²,,0,,,
R 21 999 000,,,,CommercialProperty,3566m²,,0,,,
R 11 500 000,,,,CommercialProperty,6546m²,,0,,,
