price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 650 000,3,1,Apartment/Flat,0,1,,R1126,R500,,
R 3 400 000,2,2,Apartment/Flat,1,2,,R2485,,0.0,72m²
R 3 500 000,4,3,House,1,1,1214m²,,,,
R 1 700 000,4,1,House,0,2,,,,,
R 4 900 000,4,4.5,House,1,10,2002m²,,,,400m²
R 12 790 000,,,CommercialProperty,0,,495m²,R335,R960,,
R 869 000,3,2,House,0,2,420m²,,R626,1.0,
R 26 000 000,,,CommercialProperty,0,,4192m²,,,,
R 525 000,2,1,Townhouse,1,,38472m²,R1200,R350,0.0,46m²
R 2 000 000,5,2,House,1,12,3943m²,,R6000,1.0,
R 1 520 000 - R 1 755 000,,,,0,,,,,,
R 400 000,1,1,Apartment/Flat,1,,5158m²,R940,R300,0.0,28m²
R 1 295 000,2,2,Townhouse,0,2,1652m²,R1000,R704,0.0,
R 539 000,1,1,Apartment/Flat,1,1,,,,0.0,
R 1 349 000,3,2,Apartment/Flat,0,1,,,,,
R 8 750 000,4,4.5,House,1,9,3581m²,,,1.0,
R 4 990 000,3,3,House,0,2,3acres,,,,
R 2 200 000,3,2,House,0,1,,,,,
R 7 500 000,5,4.5,House,0,5,1466m²,,,1.0,
R 4 700 000,,,CommercialProperty,0,,4508m²,,R4221,,724m²
R 320 000,1,1,Apartment/Flat,0,1,,R550,,,
R 5 610 000,3,3,Apartment/Flat,1,,,R5163,R1966,,180m²
R 250 000,1,1,Apartment/Flat,0,,,R2047,R224,,
R 4 995 000,4,3,House,1,6,2218m²,,,1.0,
R 3 900 000,3,2,House,1,4,1027m²,,R3643,,405m²
R 950 000,2,1,Apartment/Flat,0,1,,,,,118m²
R 4 800 000,4,3,House,0,1,1196m²,,R2996,,
R 5 299 000,3,2,House,1,2,1152m²,,R1679,1.0,
R 4 100 000,4,4,House,1,2,,,,,
R 525 000,,1,Apartment/Flat,0,,,R1000,R1100,0.0,41m²
R 770 000,3,2,Townhouse,1,1,,,,,
R 1 000 000,2,2,Townhouse,1,1,21416m²,R1436,R130,,87m²
R 550 000,3,1,Townhouse,0,,,,,0.0,
R 1 089 000,2,1,Apartment/Flat,0,1,4465m²,R3103,R469,0.0,121m²
R 1 299 000,3,2,House,0,4,857m²,,,1.0,130m²
R 9 500 000,4,4,Townhouse,1,3,990m²,R2000,R6000,1.0,
R 790 000,3,1,Apartment/Flat,0,1,,R2144,,,93m²
R 695 000,3,1,House,0,7,,,,,
R 999 000,3,2,Townhouse,0,2,,,,,
R 9 270 000,3,3,Townhouse,1,2,,,,,
R 480 000,2,1,Apartment/Flat,0,1,5394m²,R700,R600,0.0,46m²
R 1 200 000,1,1,Apartment/Flat,0,1,,,,,
R 295 000,1,1,Apartment/Flat,0,1,,,,,
R 665 000,1,1,Apartment/Flat,0,1,,,,,
R 3 500 000,,,IndustrialProperty,0,,,,,,1678m²
R 5 499 000,,,CommercialProperty,0,,447m²,R7023,R7023,,1500m²
R 1 799 000,3,2,Apartment/Flat,1,2,,,R1129,1.0,117m²
R 4 500 000,3,3,Townhouse,0,2,711m²,,,0.0,334m²
R 980 000,3,1,House,0,5,495m²,,,1.0,496m²
R 739 000 - R 789 000,,,,0,,,,,,
R 1 050 000,1,1,Apartment/Flat,1,,16000m²,R1620,R450,0.0,71m²
R 750 000,,,Townhouse,0,,,,,,
R 7 750 000,4,3,House,0,3,900m²,,R2962,,550m²
POA,4,4,House,0,2,552m²,R1961,R3500,0.0,550m²
POA,1,1,Apartment/Flat,0,,1799m²,R2520,R458,,58m²
R 2 575 000,14,11,House,0,10,1239m²,,R805,0.0,
R 550 000,3,2,House,0,,420m²,,,1.0,
R 1 695 000,4,3,House,0,8,975m²,,,,
