price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size
R 4 300 000 - R 4 600 000,,,,,,,,,0,
R 899 000,3,3,5,House,140m²,,R350,1.0,0,435m²
R 1 450 000,2,1,,Apartment/Flat,111m²,R3437,,,1,
R 950 000,2,,2,House,,,,,0,270m²
R 1 495 000,3,2,1,Apartment/Flat,171m²,R2750,R520,,0,
R 9 800 000,,,,IndustrialProperty,,,,,0,2959m²
R 660 000,4,2,2,Apartment/Flat,135m²,R1225,R284,,0,2027m²
R 440 000,1,1,1,Apartment/Flat,27m²,R957,R260,0.0,0,
R 2 725 000,3,3,2,Townhouse,211m²,,R1323,1.0,1,211m²
R 1 890 000,4,2,2,House,,,R1219,1.0,1,1025m²
R 850 000,3,2.5,1,House,190m²,,R373,0.0,0,668m²
R 800 000,2,2,2,Apartment/Flat,,,R487,,0,
POA,,,,CommercialProperty,,,,,0,744m²
R 19 800 000,6,5,5,House,,,,1.0,1,6306m²
R 5 251 000,4,,1,House,,,,,0,954m²
R 995 000,4,2,2,House,,,R631,,1,448m²
R 795 000,2,1.5,2,Apartment/Flat,84m²,R1250,R450,,1,17897m²
R 1 495 000,3,2.5,1,Townhouse,129m²,R3400,R693,1.0,0,20991m²
R 987 000,1,1,1,Apartment/Flat,88m²,R3110,,,0,88m²
R 1 049 000,3,2,2,Townhouse,98m²,R1200,R650,0.0,0,
R 3 500 000,4,4,5,House,500m²,,,1.0,1,991m²
R 550 000,,,,VacantLand/Plot,,,,,0,
R 1 495 000,3,1,6,House,,,R1000,1.0,1,780m²
R 950 000,,,,CommercialProperty,,,R404,,0,495m²
R 435 000,1,1,,Apartment/Flat,30m²,,R200,,1,
R 12 459 000,4,4.5,5,House,750m²,R2440,R3360,1.0,1,860m²
R 950 000,3,2,1,House,,,,,0,450m²
R 620 000,3,1,4,Apartment/Flat,135m²,R1681,R300,,0,1492m²
R 630 000,2,1,,Townhouse,79m²,,,0.0,0,
R 9 990 000,3,4,3,Apartment/Flat,800m²,,R4600,1.0,1,
R 1 495 000,,,,CommercialProperty,250m²,,R1914,,0,248m²
R 980 000,,,,House,,,,,0,535m²
R 859 000,2,1,1,Townhouse,72m²,R1200,R500,,1,6934m²
R 420 000,2,1.5,,Apartment/Flat,,,,,0,
R 670 000,2,1,,Apartment/Flat,,R850,R400,,0,
R 4 050 000,4,2.5,2,House,,,,1.0,1,590m²
R 1 495 000,3,2.5,3,Townhouse,147m²,R693,R3400,1.0,1,
R 2 499 000,6,6,6,House,,,,,0,496m²
R 3 250 000,4,3,6,House,,,R2609,,0,1328m²
POA,4,3,7,House,,,,1.0,1,1170m²
R 460 000,2,1,2,Apartment/Flat,,,,,0,
R 2 490 000,4,5,6,House,400m²,,R640,,0,455m²
R 3 750 000,2,3.5,2,House,250m²,,,1.0,1,495m²
R 1 600 000,5,3,9,House,375m²,,R1600,1.0,0,875m²
R 225 000,1.5,1,1,Apartment/Flat,83m²,R768,R287,0.0,0,
R 1 350 000,3,2,2,House,110m²,R880,R612,0.0,0,20188m²
R 1 349 000,8,3,4,House,550m²,,R800,,0,990m²
R 27 999 999,152,27,,Apartment/Flat,,,R19000,,0,920m²
R 650 000,3,1,1,Apartment/Flat,57m²,,,,0,
R 499 000,1,1,1,Apartment/Flat,,,,,0,
R 1 420 000,4,2.5,4,House,,,,0.0,0,
R 445 000,1,1,,Apartment/Flat,44m²,R1979,R1030,0.0,0,
R 750 000,3,1,1,Townhouse,73m²,R1500,,,0,
R 739 000 - R 789 000,,,,,,,,,0,
R 500 000,3,1,1,Apartment/Flat,143m²,R2300,R38,0.0,0,
R 2 850 000,2,2,6,House,1m²,,R2700,1.0,1,1042m²
R 5 000 000,,,,IndustrialProperty,,,,,0,3800m²
R 950 000,5,,2,House,,,,,0,
R 720 000,2,1,,Townhouse,91m²,,,,0,3836m²
R 995 000,,,,VacantLand/Plot,,,,,0,
R 2 599 000,3,4,3,House,1373m²,,R1500,1.0,0,1373m²
R 1 699 000,4,3,12,House,338m²,,R900,0.0,0,1263m²
R 1 195 000,2,2,1,Apartment/Flat,146m²,R4744,R377,,1,
R 560 000,3,1,1,Townhouse,,,,0.0,1,
R 755 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 665 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 765 000,2,1,1,Apartment/Flat,,R1200,R250,,0,
R 2 500 000,3,2,4,House,,,,1.0,0,
R 230 000,1,1,,Apartment/Flat,57m²,R1195,R559,0.0,0,
R 1 250 000,2,2.5,2,Townhouse,105m²,R3500,R800,1.0,1,
R 975 000,2,2,1,Townhouse,90m²,R1846,R595,,0,
R 2 670 000,6,6,9,House,400m²,,R1350,,0,1540m²
R 1 849 000,2,2,2,Apartment/Flat,188m²,R2993,R1657,,1,
R 11 000 000,9,9,20,House,,,,,0,
R 1 645 000,3,2,1,Townhouse,99m²,R1500,R904,1.0,1,10390m²
R 5 400 000,2,2.5,2,Apartment/Flat,157m²,R6750,R1800,,0,
R 600 000,2,1,,Townhouse,40m²,R1850,R269,0.0,0,
R 1 795 000,6,5.5,3,House,,,R1513,,0,822m²
R 1 259 000,3,2.5,3,Townhouse,137m²,R2395,R650,,0,16667m²
R 1 050 000,5,3,8,House,450m²,,R1600,1.0,0,3086m²
R 830 000,3,2,1,House,,,R1331,,1,248m²
R 850 000,2,2,2,Townhouse,84m²,R955,R2400,0.0,1,
R 3 799 000,4,3,4,House,,,R1475,,1,1186m²
R 550 000,1,1,1,Apartment/Flat,,,,,0,
R 600 000,2,1.5,,House,,,,,0,
R 800 000,5,2,1,House,,,,1.0,1,
R 900 000,3,1,1,House,,,,1.0,0,329m²
R 2 100 000,2,2,2,Apartment/Flat,76m²,,,0.0,0,
R 910 000,2,2,1,Townhouse,70m²,R1350,,,1,
R 649 000,,,,,,,,,0,
R 2 999 000,3,2.5,2,Townhouse,124m²,R1960,R1886,1.0,0,
R 799 000,1,1,2,Apartment/Flat,,,,,0,
R 599 000,1,1,,Townhouse,52m²,R1300,R360,,1,
R 300 000,2,1,,House,,,,,0,194m²
R 1 050 000,3,1,4,House,,,,,0,299m²
R 1 100 000,3,2,2,Apartment/Flat,152m²,R2520,R687,1.0,0,7948m²
R 13 000 000,,29,,Apartment/Flat,4000m²,,R27712,,0,500m²
R 3 995 000,4,4,12,House,,R1256,R1652,,1,991m²
R 1 250 000,2,1,1,House,,,,,0,
R 895 000,3,2,2,Townhouse,84m²,,R428,0.0,1,12553m²
R 690 000,3,1.5,2,Townhouse,88m²,R2000,R371,0.0,0,495m²
R 650 000,2,1,,Apartment/Flat,,,,,0,
R 3 195 000,3,2,2,House,1m²,,,1.0,1,495m²
R 599 000,2,2,1,Apartment/Flat,126m²,R855,R220,,0,126m²
R 1 250 000,,,,House,,,,,0,
R 780 000,2,1,1,Apartment/Flat,,,R400,,0,
R 8 499 900,,,,,,,,,0,
R 750 000,5,3,1,House,383m²,,R473,0.0,0,4696m²
R 1 690 000,2,2,2,Apartment/Flat,133m²,R3700,,,0,133m²
R 1 549 000,2,1,1,Townhouse,100m²,R2073,R1006,0.0,1,
R 695 000,,1,,Apartment/Flat,45m²,R1500,R350,,1,
R 13 900 000,4,4,3,House,525m²,R3090,R5150,1.0,1,849m²
R 7 500 000,,,,CommercialProperty,1350m²,,,,0,1350m²
R 1 200 000,3,2,2,House,,,R410,1.0,0,496m²
R 3 195 000,2,2,2,Apartment/Flat,106m²,R2694,R450,0.0,0,
R 920 000,3,1,2,House,,,,1.0,0,
R 2 175 000,2,2,1,Apartment/Flat,159m²,R2851,R1600,,0,
R 82 000 000,,,,CommercialProperty,10000m²,,,,0,10000m²
R 1 499 000,5,5,6,House,495m²,,R519,1.0,0,576m²
R 549 000,2,1,1,Townhouse,66m²,R1202,R309,0.0,0,6339m²
R 1 600 000,1,1,1,Apartment/Flat,50m²,R1120,R800,1.0,1,
R 1 295 000,3,3,5,House,,,R288,1.0,1,600m²
R 420 000,3,1.5,1,Apartment/Flat,147m²,R1425,,0.0,0,
R 1 280 000,3,1,2,House,,,,,0,
R 2 000 000,2,2,2,Apartment/Flat,117m²,R3520,R1300,1.0,0,7529m²
R 510 000,1,1,1,Apartment/Flat,56m²,R1842,,0.0,0,
R 1 680 000,3,2,1,House,,,,,0,541m²
R 1 950 000,2,2,2,Apartment/Flat,88m²,R2830,,0.0,1,
R 999 000,3,2,2,Townhouse,98m²,R700,R600,1.0,0,
R 650 000,2,1.5,2,Apartment/Flat,,R1600,R300,1.0,1,
R 950 000,2,1.5,1,Apartment/Flat,147m²,,,0.0,0,
R 5 500 000,5,3,3,House,,,,,1,
R 1 350 000,3,2,2,Apartment/Flat,98m²,R4500,R998,0.0,1,
R 1 750 000,6,3,6,House,368m²,,R1068,1.0,1,1108m²
R 1 950 000,4,2.5,4,Townhouse,300m²,,,1.0,0,
R 21 550 000,3,3.5,3,Apartment/Flat,425m²,R7500,R6000,,1,
R 340 000,2,1,,House,,,,,0,152m²
R 780 000,1,1,1,Apartment/Flat,68m²,R1550,R450,,0,
R 1 500 000,4,3,1,House,620m²,,,1.0,0,902m²
R 2 700 000,2,2,2,Apartment/Flat,145m²,R3852,R1170,,0,5801m²
R 615 000,2,1,1,Apartment/Flat,67m²,,R285,0.0,0,5581m²
R 1 099 999,3,2,,Apartment/Flat,82m²,R1268,R666,1.0,1,
R 2 390 000,,,,,,,,,0,
R 22 042 900,,,,VacantLand/Plot,,,,,0,
R 4 995 000,4,3,7,House,,,R2900,,1,3441m²
POA,4,3.5,5,House,,,R5602,,1,3998m²
R 665 000,2,1,1,Apartment/Flat,,R1134,R250,,0,
R 665 000,2,1,1,Apartment/Flat,,R1134,R250,,0,
R 755 000,2,1,1,Apartment/Flat,,R1335,R250,,0,
R 675 000,2,1,1,Apartment/Flat,,R1134,R250,,0,
R 790 000,2,1,2,Apartment/Flat,,R1450,R350,,1,
R 755 000,2,1,,Apartment/Flat,51m²,R650,R500,0.0,0,
R 250 000,1,1,1,Apartment/Flat,77m²,R804,,0.0,0,
R 999 000,5,2,1,House,,,,,0,495m²
R 940 000,3,2,2,Townhouse,88m²,,R470,0.0,1,11297m²
R 11 990 000,,,,CommercialProperty,1000m²,,,,0,1290m²
R 1 400 000,2,2,1,Apartment/Flat,,,,0.0,0,
R 750 000,2,1,1,Apartment/Flat,,,,,0,
R 2 650 000,4,3,4,House,,,R863,,1,2230m²
R 1 150 000,5,1,,House,120m²,,R500,,1,600m²
R 729 000,3,2,,Apartment/Flat,,,,,0,
R 650 000,2,1,1,Apartment/Flat,1m²,R1600,R300,1.0,1,1m²
R 1 200 000,3,1,1,House,,,,0.0,0,
R 1 150 000,2,1,1,Apartment/Flat,126m²,R3000,R300,,0,
R 3 800 000,2,2,2,Apartment/Flat,83m²,R4095,R2500,0.0,1,
