price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 1 550 000,House,471m²,,0,4,2,1,350m²,R700,1.0
R 2 700 000,House,1704m²,,1,9,4,2,,,
R 11 400 000,IndustrialProperty,3745m²,,0,,,,3745m²,,
R 13 300 000,IndustrialProperty,4406m²,,0,,,,4406m²,,
R 11 900 000,House,1500m²,,1,4,3.5,8,,R4667,1.0
R 765 000,Apartment/Flat,,R1300,0,2,1,1,,R150,
R 2 150 000,Townhouse,,R4648,0,3,2,2,120m²,R1530,1.0
R 773 000,House,200m²,R150,0,3,1,1,60m²,R150,1.0
R 1 450 000,Apartment/Flat,,R2800,0,1,2,1,,R1000,
R 12 000 000,CommercialProperty,2703m²,,0,,,,864m²,R13853,
R 799 000,House,248m²,,0,3,1,4,,R557,
R 27 000 000,House,7063m²,,1,5,4,2,,,1.0
R 6 450 000,Apartment/Flat,,R5000,1,4,4,2,,,0.0
R 595 000,Apartment/Flat,,R1200,1,2,1,1,,,0.0
R 899 000,House,,,0,3,,2,,,
R 1 999 999,House,1487m²,,1,4,2,2,,R897,0.0
R 500 000,House,,,0,2,,4,,,
R 3 250 000,House,496m²,,0,,,,1m²,R2000,1.0
R 3 250 000,House,566m²,,1,3,4,6,,,1.0
R 760 000,House,,,0,3,1,1,,,
R 850 000,House,300m²,R838,1,4,2,5,,R381,0.0
R 2 600 000,CommercialProperty,965m²,,0,,,,965m²,,
R 1 350 000,Townhouse,42992m²,R1800,1,2,3,1,123m²,,
R 2 500 000,Apartment/Flat,,R3516,1,1,1,1,61m²,R1151,
R 3 100 000,Apartment/Flat,,R4200,1,1,1,2,95m²,R2500,
R 2 449 000,House,991m²,,0,5,5,6,500m²,R957,1.0
R 2 000 000,House,1050m²,,1,3,2,8,170m²,R800,
R 2 300 000,House,495m²,,0,9,3,,,,
R 1 199 000,House,600m²,,0,3,2,6,160m²,R350,1.0
R 4 750 000,House,952m²,,1,3,2,2,,R2952,1.0
R 1 800 000,House,881m²,,0,4,4,6,,,1.0
R 1 957 500,CommercialProperty,,R11800,0,,,,,R5950,
R 1 100 000,Apartment/Flat,100m²,,0,3,2,1,100m²,,1.0
R 939 000,Apartment/Flat,74m²,R1560,0,,1,,74m²,R450,
R 2 190 000,House,664m²,,1,9,6,4,,,
R 700 000,House,380m²,,0,2,1,,110m²,R450,0.0
R 2 890 000,House,1132m²,,0,4,3,2,,R1833,1.0
R 1 750 000,House,600m²,,0,11,4,2,,R800,
R 449 000,Apartment/Flat,,R1444,0,1,1,1,27m²,R687,0.0
R 1 300 000,House,1000m²,,0,4,3,1,,R1200,
R 750 000,Apartment/Flat,499m²,R1600,0,0.5,1,,45m²,R300,0.0
R 7 928 500,Apartment/Flat,173m²,R6500,0,3,2,,173m²,,
R 750 000,Apartment/Flat,,R1980,0,3,1,1,,R480,
R 2 000 000,House,495m²,,0,,,,,,
R 2 150 000,House,991m²,,1,4,2.5,2,,,
R 2 400 000,House,1843m²,,0,4,2,,,,
R 2 299 000,House,1188m²,,1,5,2,2,,,1.0
R 850 000,Apartment/Flat,,R1600,1,3,1,2,99m²,R280,
R 9 160 805,VacantLand/Plot,1058m²,R1950,1,,,,540m²,R2200,
R 1 450 000,House,1000m²,,0,3,2.5,,,R1000,
R 1 495 000,Apartment/Flat,,,0,1,1,1,59m²,,0.0
R 850 000,Apartment/Flat,,,1,2,1,1,,,
R 2 650 000,House,1006m²,,0,3,2,2,,R2250,1.0
R 6 800 000,VacantLand/Plot,4ha,,0,,,,,R1500,
R 2 499 000,House,995m²,,1,4,2.5,2,,,1.0
R 610 000,Townhouse,,R1800,1,2,1,1,60m²,R500,0.0
R 3 200 000,House,1988m²,,1,8,5,1,,,1.0
R 3 600 000,Apartment/Flat,,R3800,1,1,1.5,2,93m²,R2500,
R 1 395 000,Townhouse,,R3000,1,5,3,1,170m²,R782,
R 330 000,Apartment/Flat,,R794,0,0.5,1,1,29m²,,0.0
R 475 000,Apartment/Flat,1053m²,R800,0,,1,1,33m²,R445,
R 4 300 000 - R 4 600 000,,,,0,,,,,,
R 980 000,Townhouse,,,1,5,2,6,203m²,,1.0
R 1 360 000,CommercialProperty,957m²,,0,,,,957m²,,
R 1 690 000,House,534m²,,1,3,2.5,1,250m²,R800,1.0
R 790 000,Townhouse,,R1610,1,1,1,2,65m²,R335,0.0
R 25 000 000,House,4154m²,,1,5,5,6,,R10114,1.0
R 2 150 000,House,2019m²,,1,4,2,2,,R1700,
R 5 000 000,Apartment/Flat,,R3818,1,2,2.5,2,173m²,R2800,
R 6 300 000,Apartment/Flat,,R6283,1,2,2.5,2,160m²,R3530,
R 1 510 000,Apartment/Flat,,R3500,0,3,2.5,1,123m²,,0.0
R 2 399 000,House,1314m²,,0,4,3,3,,R1600,
R 1 695 000,House,1000m²,,0,4,2,2,,,1.0
R 1 350 000,House,495m²,,0,7,3,,,,
R 1 500 000,House,660m²,,0,5,4,3,,,1.0
R 2 495 000,House,2178m²,,1,5,3,4,502m²,R1491,
R 1 069 000,House,,,0,4,2,2,600m²,R611,
R 445 000,Townhouse,,R1100,0,2,1,,96m²,,
R 2 400 000,House,2164m²,,1,3,2,2,,R2200,
R 1 750 000,House,742m²,,0,3,2,3,,,0.0
