price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 420 000,1,1,,Apartment/Flat,,0,,,40m²,
R 1 100 000,2,2,,Apartment/Flat,R618,0,4376m²,0.0,103m²,R2500
R 1 650 000,3,2,,House,R657,1,647m²,,647m²,
R 3 400 000,2,2,2,Apartment/Flat,R2435,1,,,144m²,R4427
R 6 500 000,4,3.5,2,House,R3783,1,910m²,,,R1010
R 42 000 000,,,,IndustrialProperty,,0,6357m²,,,
R 850 000,2,1,,Apartment/Flat,R430,0,,0.0,113m²,R2160
R 1 050 000,3,1,,Apartment/Flat,,0,,0.0,,
R 16 000 000,,,,CommercialProperty,,0,,,,
R 1 750 000,3,2,16,House,R1250,0,2023m²,,350m²,
R 739 000 - R 789 000,,,,,,0,,,,
R 3 295 000,3,2.5,2,House,R2800,1,715m²,1.0,1m²,
R 1 499 000,3,2.5,2,Townhouse,R859,1,,0.0,181m²,R2210
R 2 500 000,2,2,2,House,R1986,0,630m²,,153m²,
R 490 000,1,0.5,,Apartment/Flat,,0,995m²,,26m²,R1500
R 9 800 000,,,,IndustrialProperty,,0,2959m²,,1923m²,
R 599 000,3,1,3,House,,0,,1.0,,
R 1 495 000,3,3,2,House,R556,0,756m²,0.0,,
R 3 200 000,2,2,2,Apartment/Flat,,1,,1.0,,R3266
R 1 595 000,3,2,4,House,R600,1,521m²,0.0,,
R 3 100 000,2,2,2,House,R2300,1,649m²,1.0,1m²,
R 2 600 000,,,,CommercialProperty,R0,0,358m²,,358m²,R0
R 1 400 000,3,1.5,3,House,R325,1,,,1356m²,
R 1 190 000,3,2.5,2,Townhouse,R408,0,,,163m²,R2530
R 955 000,2,1,,Townhouse,,0,,,61m²,
R 3 995 000,7,4,7,House,,0,992m²,1.0,600m²,
R 1 595 000,3,2,2,House,R961,0,1000m²,1.0,,
R 9 600 000,,,,IndustrialProperty,,0,12000m²,,9600m²,
R 1 579 000,3,2,2,Apartment/Flat,R952,1,,,,R1271
R 2 490 000,2,2,2,Apartment/Flat,,1,,0.0,89m²,
R 950 000,4,2,2,House,,0,495m²,,,
R 600 000,2,1,2,Apartment/Flat,,0,,,,R1183
R 5 000 000,,,,IndustrialProperty,R1,0,2000m²,,1578m²,R1
R 1 385 000,2,2,3,Apartment/Flat,R650,1,,,106m²,R2500
R 325 000,0.5,1,,Apartment/Flat,R800,0,,,26m²,R712
R 1 950 000,3,3,3,House,,0,350m²,1.0,112m²,
R 4 850 000,,,,IndustrialProperty,,0,4000m²,,1890m²,
R 610 000,2,1,2,Apartment/Flat,R450,1,58m²,0.0,58m²,
R 5 100 000,4,3.5,2,House,,1,1490m²,,,
R 1 399 000,2,2.5,2,Townhouse,R914,1,,0.0,123m²,R1850
R 790 000,2,1,,Apartment/Flat,R495,0,10749m²,,75m²,R1400
R 16 000 000,,,,IndustrialProperty,,0,6870m²,,,
R 450 000,2,1,1,Apartment/Flat,,0,,,78m²,
R 480 000,1,1,1,Apartment/Flat,,0,3.631ha,,,R500
R 2 495 000,3,2,3,House,R1458,0,,,316m²,R2800
POA,4,3,,House,,0,991m²,,340m²,
R 640 000,2,1,1,Townhouse,,0,,,,
R 1 505 000,4,2,2,House,R700,1,600m²,0.0,,
R 1 500 000,4,2,1,House,,0,,0.0,,
R 1 400 000,2,2,,House,,0,,,,
R 780 000,3,1,1,House,R450,0,310m²,,85m²,
R 750 000,2,2,1,Townhouse,R420,1,17315m²,0.0,69m²,
R 160 000,0.5,1,1,Apartment/Flat,R1,0,,0.0,40m²,R650
R 800 000,2,1.5,,House,R1286,0,387m²,,,
R 3 900 000,2,2.5,2,House,R2427,0,620m²,1.0,270m²,R545
R 1 100 000,2,2,1,Apartment/Flat,R500,0,65m²,0.0,1097m²,R1000
R 1 755 000,2,2,2,Apartment/Flat,R700,0,,1.0,82m²,
R 1 995 000,,,,IndustrialProperty,R1310,0,496m²,,,
R 1 295 000,5,5,7,House,,0,,0.0,,
R 2 990 000,3,2.5,4,House,R1443,1,1912m²,1.0,,
R 520 000,3,1,2,House,,0,,,,
R 700 000,1,1,1,Apartment/Flat,,0,80m²,,46m²,
R 950 000,2,1,,Apartment/Flat,,0,105m²,,105m²,
R 1 900 000,,,,IndustrialProperty,R1,0,1400m²,,1200m²,R1
R 2 600 000,,,,CommercialProperty,R0,0,3705m²,,370m²,R0
R 1 650 000,3,2,4,Townhouse,R694,1,,1.0,114m²,R3381
R 825 000,4,2,2,House,R365,0,600m²,,,
R 275 000,1,1,1,Apartment/Flat,,0,,0.0,80m²,R1829
R 55 000 000,,,,IndustrialProperty,,0,,,11508m²,
R 2 350 000,4,2,4,House,R1215,1,1990m²,1.0,,
R 10 000 000,,,,CommercialProperty,,0,1002m²,,,
R 1 700 000,,,,VacantLand/Plot,,0,,,,
R 3 999 000,3,2.5,3,House,,0,244m²,,217m²,
R 850 000,3,2,1,House,,0,408m²,1.0,240m²,
R 580 000,2,1,1,Apartment/Flat,,0,,0.0,,
R 3 850 000,2,2,2,Apartment/Flat,R2434,1,,,83m²,R5113
R 550 000,2,1,,Townhouse,R300,0,,0.0,,R800
R 580 000,3,1,3,House,R256,0,326m²,,,
R 1 999 000,3,3,3,House,,1,1487m²,1.0,,
R 4 900 000,,,,,,0,,,,
R 1 095 000,2,2,1,Apartment/Flat,R650,0,13916m²,0.0,84m²,R1750
R 2 850 000,6,3,10,House,,1,1487m²,,,
R 580 000,2,1,1,House,R350,0,,,,R1050
R 290 000,2,1.5,1,Apartment/Flat,,0,,0.0,103m²,R2788
R 600 000,1,1,,Apartment/Flat,R842,0,,0.0,45m²,R1841
R 1 199 000,3,1,3,House,R395,0,495m²,1.0,,
R 1 550 000,2,2,3,Apartment/Flat,R1200,0,,1.0,134m²,R2500
R 760 000,2,1,,Townhouse,,0,,,87m²,
R 4 200 000,4,3,3,Apartment/Flat,R2500,1,,,206m²,R7400
R 2 700 000,4,2,3,House,R2272,1,1020m²,,,
R 6 699 000,,,,CommercialProperty,,0,57885ha,,,
R 1 380 000,4,2,2,House,R600,1,600m²,,150m²,
R 785 000,2,1,2,Apartment/Flat,R1500,0,,,80m²,R1800
R 489 000,1,1,1,Apartment/Flat,,0,,0.0,56m²,
R 590 000,2,1,1,Apartment/Flat,,0,,,55m²,
R 550 000,1,1,,Apartment/Flat,R390,1,,0.0,39m²,R1900
R 665 000,2,1,2,Apartment/Flat,R500,0,,0.0,51m²,R750
R 8 499 900,,,,,,0,,,,
R 170 000,2,1,1,House,,0,,,,
R 1 070 000,,,,House,,0,,,,
R 19 500 000,3,4,3,House,R7143,1,2689m²,,,
R 950 000,3,1,2,House,,0,496m²,1.0,,
R 1 249 000,3,1,2,House,R248,0,694m²,1.0,,
R 800 000,3,2,1,House,,0,395m²,,,
R 525 000,1,1,,Apartment/Flat,R300,0,1000m²,,42m²,R1034
R 8 995 000,4,3.5,4,House,,1,2023m²,0.0,,
R 750 000,3,1,2,Apartment/Flat,R240,0,99m²,,99m²,
R 2 800 000,,1,1,Apartment/Flat,,1,,,52m²,R6864
R 700 000,2,1,1,Townhouse,,1,,0.0,70m²,R1264
R 3 700 000,4,3,4,House,R1315,0,1487m²,,,
R 5 200 000,,,,IndustrialProperty,,0,2303m²,,1057m²,
R 650 000,2,1,1,Townhouse,R373,1,11297m²,0.0,68m²,
R 4 100 000,2,2,2,Apartment/Flat,R2600,0,,,129m²,R8987
R 226 000,0.5,1,1,Apartment/Flat,R220,0,,0.0,42m²,R650
R 615 000,1,1,1,Apartment/Flat,R771,0,,0.0,59m²,R1761
R 1 520 000 - R 1 755 000,,,,,,0,,,,
R 2 095 000,4,2,4,House,R800,1,990m²,1.0,452m²,
R 1 195 000,2,1,1,Apartment/Flat,R600,0,6842m²,0.0,105m²,R2496
R 900 000,2,1,1,Townhouse,,1,,,70m²,R1977
R 4 500 000,,,,CommercialProperty,,0,212m²,,212m²,R13471
R 3 000 000,,,,VacantLand/Plot,,0,13064m²,,,
R 1 800 000,0.5,1,1,Apartment/Flat,R1600,1,,0.0,43m²,R1980
R 2 550 000,,,,VacantLand/Plot,,0,697m²,,,R1603
R 2 900 000,,,,VacantLand/Plot,,0,839m²,,,R1922
R 990 000,3,2,5,House,R450,0,479m²,,,
R 3 500 000,,,,IndustrialProperty,,0,,,2200m²,
R 1 399 000,6,2,4,House,,0,,0.0,,
R 1 450 000,3,2,,Apartment/Flat,R925,0,,,165m²,R1500
R 230 000,0.5,1,,Apartment/Flat,R407,0,,0.0,34m²,R748
R 5 200 000,2,2.5,2,Apartment/Flat,R3300,1,118m²,,118m²,R5500
R 2 700 000,5,2,8,House,R1400,1,1088m²,1.0,1088m²,
R 2 890 000,5,5,2,House,R3000,1,841m²,1.0,540m²,
R 6 500 000,,,,CommercialProperty,,0,445m²,,,
R 627 000,2,1,1,House,,0,,,,
R 1 550 000,3,2,5,House,R2000,0,,,,
R 16 500 000,,,,IndustrialProperty,,0,,,2674m²,
R 2 690 000,2,2,2,Apartment/Flat,R2105,1,,,94m²,R5001
R 1 450 000,1,1,2,Apartment/Flat,,0,,1.0,88m²,
R 1 650 000,3,2,,House,,0,697m²,,,
R 750 000,2,1,1,Townhouse,R395,0,,,,R1283
R 639 000,3,1,1,House,R258,0,312m²,,,
R 2 810 000,1,1,1,Apartment/Flat,R1000,0,,,44m²,R1944
R 3 500 000,,,,IndustrialProperty,,0,672m²,,672m²,
R 1 190 000,1,1,1,Apartment/Flat,,0,,1.0,81m²,R2857
R 1 925 000,3,2,2,Townhouse,,0,,,194m²,
R 685 000,2,1,,Townhouse,,1,,,76m²,
R 2 550 000,3,2,4,House,,1,497m²,,,
R 6 995 000,5,4,5,House,R3700,1,1712m²,1.0,1m²,
R 1 500 000,4,2,2,House,R493,1,991m²,,,
R 1 450 000,2,1,1,Apartment/Flat,,0,,,137m²,
R 1 699 000,4,2,4,House,R1007,0,899m²,,,
R 569 000,3,1,1,Apartment/Flat,R200,0,,,114m²,R1520
R 675 000,2,1,,Apartment/Flat,R1047,0,655m²,,48m²,
R 3 999 999,4,3,2,House,R2787,1,,1.0,495m²,
R 4 782 000,,,,,,0,,,,
R 2 495 000,3,2,8,House,R1600,1,1000m²,1.0,300m²,
R 690 000,3,2,1,Apartment/Flat,R400,1,,0.0,116m²,R2200
R 1 150 000,3,2,5,House,,1,472m²,,,
R 1 850 000,11,2,3,House,,0,,,,
POA,,,,CommercialProperty,,0,929m²,,,
R 800 000,2,1.5,1,House,,0,,1.0,,
R 720 000,2,1,1,Apartment/Flat,R800,1,,0.0,69m²,R1650
R 2 350 000,3,2,4,House,,0,495m²,1.0,,
R 650 000,1,1,,Apartment/Flat,R1000,1,,,46m²,R1000
R 3 300 000,1,1,1,Apartment/Flat,,1,,,60m²,R2640
R 759 000,2,1,1,House,R500,0,258m²,1.0,76m²,
R 7 500 000,,,,CommercialProperty,R5000,0,8600m²,,8600m²,R1
R 700 000,2,1,1,Apartment/Flat,,0,,0.0,109m²,
R 970 000,2,1,3,House,,0,248m²,,,
R 540 000,,,,VacantLand/Plot,,0,400m²,,,
R 4 700 000,,,,IndustrialProperty,,0,719m²,,,
R 650 000,2,1,1,Townhouse,R339,1,,,59m²,R1000
R 1 411 328,2,2,2,House,,0,,0.0,,
R 730 000,2,1,1,Townhouse,R650,0,77m²,,,
R 849 000,4,3,9,House,R431,0,384m²,,,
R 1 700 000,,,,House,,0,,,,
R 600 000,2,1,,Apartment/Flat,,0,,,64m²,R1882
R 699 000,2,1,,Apartment/Flat,R615,0,,0.0,106m²,R1500
R 43 200 000,,,,IndustrialProperty,,0,36000m²,,36000m²,
R 1 285 000,3,1,3,House,,0,230m²,,,
R 850 000,6,3,6,House,R400,0,,1.0,,
R 1 999 000,12,8,4,Apartment/Flat,R260,0,,,300m²,
R 580 000,1,1,1,Apartment/Flat,,0,,,33m²,
R 710 000,3,1.5,2,Apartment/Flat,,1,,0.0,96m²,
R 485 000,2,1,1,Apartment/Flat,R238,0,5394m²,0.0,46m²,
R 869 000,4,2,2,House,R601,0,600m²,,,
R 2 500 000,2,2,,Apartment/Flat,R1200,0,73.3m²,,73m²,R2481
R 685 000,,,,Apartment/Flat,,0,,,,
R 2 200 000,,,,IndustrialProperty,,0,553m²,,553m²,
R 1 575 000,,,,,,0,,,,
R 2 800 000,2,2,2,Apartment/Flat,R1331,1,,1.0,89m²,R4315
POA,,,,CommercialProperty,,0,14000m²,,14000m²,
R 1 230 000,3,2,1,Townhouse,R450,0,327m²,1.0,,R250
R 1 900 000,2,2,2,Apartment/Flat,,0,,0.0,162m²,R3200
R 1 390 000,3,2,2,Townhouse,R1140,1,20885m²,0.0,135m²,R2995
R 2 500 000,,1,1,Apartment/Flat,,1,,,43m²,R1892
R 2 000 000,2,2,1,Apartment/Flat,R1800,0,,0.0,95m²,R3000
R 1 100 000,10,2.5,1,House,R1000,0,800m²,,,
R 1 200 000,,,,House,R900,0,1007m²,,1007m²,R900
R 400 000,2,1,,Apartment/Flat,R900,0,,0.0,55m²,R240
R 10 500 000,,,,CommercialProperty,,0,,,,
R 10 000 000,,,,IndustrialProperty,,0,4700m²,,,
R 450 000,2,1,1,Apartment/Flat,,0,,1.0,,
R 770 000,2,2,,Townhouse,R450,1,32354m²,1.0,96m²,R1400
R 1 199 999,3,1,1,House,R363,0,279m²,1.0,,
R 2 300 000,2,2,2,Apartment/Flat,R5500,1,,0.0,199m²,
R 750 000,2,2,1,Townhouse,,0,,,,
R 650 000,2,2,2,Townhouse,,1,,0.0,65m²,
R 3 195 000,10,10,6,House,R6500,0,1690m²,1.0,,
R 2 599 000,3,2,2,Townhouse,R682,1,264m²,,,R2130
R 3 355 000 - R 3 730 000,,,,,,0,,,,
R 799 000,3,2,3,House,,1,,,,
R 2 499 000,2,2,2,Apartment/Flat,R1600,0,,,81m²,R2500
R 2 198 000,3,2,2,Townhouse,,1,242m²,,204m²,
