price,Type of Property,Pool,bedrooms,bathrooms,parking space,Erf Size,Pets Allowed,Floor Size,Levies,Rates and Taxes
R 595 000,Apartment/Flat,0,1,1,1,,0.0,,,
R 10 000 000,CommercialProperty,0,,,,,,,,
R 400 000,Apartment/Flat,0,1,1,2,,1.0,,R1200,R480
R 6 900 000,CommercialProperty,0,,,,2000m²,,1857m²,,R11240
R 550 000,Townhouse,0,1,1,1,,,,,
R 1 770 000,House,0,,,,,,,,
R 1 005 000 - R 1 355 000,,0,,,,,,,,
R 330 000,House,0,2,1,,262m²,,,,R140
R 590 000,Townhouse,0,2,1,1,,1.0,,,
R 1 200 000,House,0,3,1,,636m²,,,,R200
R 695 000,Apartment/Flat,0,2,2,1,,,84m²,R1700,R400
R 1 800 000,House,1,3,2,2,1950m²,,876m²,,R450
R 350 000,Apartment/Flat,0,1,1,,,,26m²,,
R 2 200 000,House,0,4,2,2,,,,,
R 559 000,House,0,2,1,,195m²,,40m²,,
R 11 000 000,VacantLand/Plot,0,,,,2996m²,,,,
R 685 000,Townhouse,1,2,1,2,2678m²,1.0,47m²,R890,R480
R 540 000,Apartment/Flat,0,1,1,,,,50m²,R1030,R250
POA,CommercialProperty,0,,,,6000m²,,6000m²,,
R 15 000 000,House,1,4,3,2,4148m²,0.0,,,
R 4 990 000,Apartment/Flat,0,2,2.5,2,,,150m²,,
R 6 000 000,CommercialProperty,0,,,,1059m²,,,,
R 1 595 000,Apartment/Flat,1,1,1,1,,,52m²,,
R 2 499 000,House,0,3,2.5,1,495m²,1.0,,,
R 470 000,Apartment/Flat,0,1,1,1,,,,,
R 11 900 000,Apartment/Flat,1,9,9,20,,1.0,,,R3800
R 9 600 000,CommercialProperty,0,,,,,0.0,,,
R 629 000,,0,,,,,,,,
R 2 200 000,House,1,3,1,,,,,,
R 1 950 000,House,0,4,2,4,841m²,,,,
R 2 920 000,House,0,,,,,,,,
R 2 800 000,Townhouse,0,2,2,2,,,,,
R 2 920 000,House,0,,,,,,,,
R 2 400 000,Apartment/Flat,0,4,3,2,,,,,
R 370 000,House,0,,,,,,,,
R 6 500 000,House,0,,,,,,,,
R 750 000,Townhouse,1,2,1,,,,69m²,,
R 1 200 000,House,0,10,4,1,744m²,,280m²,,
R 5 999 000,Farm,1,,,,,1.0,375m²,,
R 950 000,Townhouse,1,2,1,,,1.0,70m²,,
R 1 140 000,Townhouse,0,3,2,1,,,116m²,,
R 2 500 000,CommercialProperty,0,,,,10000m²,,500m²,,
R 750 000,Townhouse,0,2,1,1,,,78m²,,
R 3 100 000,Townhouse,0,3,4,2,,,294m²,,
R 8 000 000,CommercialProperty,0,,,,1100m²,,,,
